,description,label
0,Changing an AC_DEFINE'ed variable in configure.in can require clobbers for preprocessed files,True
1,Panning in metrofx appears accelerated,True
2,Add a way to set the kAudioHardwarePropertyRunLoop property  on OSX only once per process,False
3,Nightly constantly crashes [@ audiounit_property_listener_callback] when I enter a room in VidyoDesktop,True
4,Add HE-AAC support to MP4Reader,True
5,"Filter out expired issuer certificates within mozilla::pkix, instead of relying on NSS's CERT_CreateSubjectCertList to do it",False
6,Try enabling the profiler tests on non-debug builds,False
7,configure: line 16243: MOZ_FMP4: command not found,False
8,RegExp.$N changed behavior since FF 33,True
9,Add scroll start/stop notifications from apz to scroll observers,False
10,[10.10] [UX] Investigate updating hover state for buttons in the tabstrip,False
11,Add support for specifying the font smoothing background color to Moz2D,False
12,Trickle candidates are not reliably incorporated into local SDP (in the PeerConnection),False
13,"[Remove], [Remove all] by mouse are broken in sub-dialog",True
14,Don't assume FrameMetrics and APZC objects are only on ContainerLayers,False
15,Enable MP4Reader on Windows,False
16,"[FTU][Import Contacts] Facebook, Gmail, and Outlook contacts are not available when connected to WiFi or Data during FTU",True
17,[CSS Filters] Add a rendering test for blur radius in ems and rems,False
18,Disable all ADB helper logs with debug pref,False
19,"Refactor MSE tests, introduce mediasource.js shared functions",False
20,Add mfbt/JSONWriter.h and use it for memory reporting,False
21,dexpcomify remaining accessible classes,False
22,make marker times start at consistent epoch,False
23,checkSizing() and onPageFirstSized() cause uninterruptible reflows,True
24,SettingsLock objects leak by only calling destroyDOMRequestHandler during inner-window-closed,True
25,Build more DOM code in unified mode,False
26,Re-export emit from protocol.js,True
27,Tracelogger: Create the hooks for Debugger,False
28,Add a --fix-stacks option to dmd.py,False
29,Split up the GC helper thread into separate and independent HelperThread tasks,False
30,"Builds with ""ac_add_options --disable-accessibility"" are broken, with ""AttributeError: 'NoneType' object has no attribute 'filetype'"", due to PContent.ipdl including PDocAccessible",True
31,Race condition in settings api during app shutdown,True
32,Logical coordinate support for relative positioning,False
33,UI review for bug 1054959 (Add 'send videos' and 'send tabs' from desktop to a second screen),False
34,[e10s] Tabs appear to crash during system shutdown,True
35,Composition string doesn't appear after forcibly commit composition by moving focus on Linux,True
36,Use flags to define which about: and chrome: URIs should be loaded in the content process.,False
37,Expose an API to track DOM Promise which are left uncaught,False
38,Port all code using nsRenderingContext::SetLineStyle/nsLineStyle to Moz2D,False
39,Use inline data for small transparent typed objects,False
40,Rename the snapping variant of NSRectToRect to NSRectToSnappedRect,False
41,Omnijar.cpp:62:47: warning: self-comparison always evaluates to true [-Wtautological-compare],True
42,Pass nsFontMetrics objects through to code that needs it instead of storing it on the nsRenderingContext,False
43,Add the ability to mirror tabs from desktop to a second screen,False
44,Intermittent test_input_color_picker_popup.html | Test timed out. - expected PASS,True
45,Negative selection hides the overview graph's mask,True
46,ImageBridgeChild thread's priority is not high enough on gonk,False
47,[non-e10s] twitter web UI (twitter.com) scrolls up unexpectedly at doing RT or showing image,True
48,Mochitest for making sure loadedmetadata event is fired as early as possible,False
49,incorporate the text-orientation value into mozilla::WritingMode,False
50,lazyRequireGetter incorrectly bound to main loader,True
51,add MOZ_OVERRIDE annotations to subclasses of gfxFont,False
52,"For MacOS builds running on Valgrind, make ThreadStackHelper::GetStack be a no-op",True
53,Direct2D 1.1 doesn't clean up well after itself,True
54,Create UITour event framework,False
55,I see a support file in a test manifest which results in a warning,False
56,SIMD test cases: implement int32x4.bool test case,False
57,"When I add CSS with a :first-letter pseudo-element (even w/o declaration), Firefox 34.0 shows scrollbars.",True
58,Line box boundaries is incorrect for vertical text,False
59,test_tone.cpp failed with new Bionic branch for ICS devices on B2G,True
60,"Assertion failure: maybecx->runtime()->hadOutOfMemory, at jscntxt.cpp",True
61,"Assertion failure: addr.offset == 0, at jit/arm/MacroAssembler-arm.h",True
62,convert all in-tree style sheets logical properties from -moz-padding-start etc. to padding-inline-start etc.,False
63,Reftest fails on tests for bug 1087872 on Windows,True
64,Space key included in a keyword disables search engine,True
65,[e10s] youtube video overlay from other pages when playing HTML5 video fullscreen,True
66,Broken HTTP/2 dependency stream ID,True
67,Intermittent could not determine packageUrl property to use against sendchange. Was it set after 'mach build'?,True
68,MSVC2012 bustage - security\pkix\include\pkix/Input.h(127) : error C2059: syntax error : ';',True
69,"""Assertion failure: phi->hasUses() (Missed an unused phi)"" on asm.js testcase",True
70,Preferences for app.update should handle onchange event,False
71,add support for axis-relative and non-shorthand box-edge logical properties,False
72,"Refresh animation player widgets if duration, delay or iterationCount change.",True
73,Remove the need for hacky skipgen worker descriptors,False
74,"Mark ParentObject as stack class, and its mObject member as nsCOMPtr; r=smaug",False
75,Root Gradle configuration in srcdir rather than objdir,False
76,Clean up listTabs promises,False
77,Check if we have a downscaler before using it to avoid assertions when decoding progressive JPEGs,True
78,Graphical glitch during animation,True
79,Rooting hazard in CClosure::Create(),True
80,[Text Selection][Browser] The page scrolls down during text selection,True
81,Keep destroying the toolbox even if a panel fails,True
82,"XSS when pasting from other app into contenteditable field, with SVG <animate>",True
83,Failure to display images after imgFrame::mOptSurface is cleared,True
84,"""Assertion failure: !zone->isPreservingCode()""",True
85,[Nuwa] wrap pthread_mutex_trylock,True
86,Make Restyle label splitted based on element id and log the callstack from javascript if available,False
87,Absolute child element should not be selectable if parent has -moz-user-select: none,True
88,Fix mFileStatus ordering in CacheEntry::Load,True
89,"Replace {INCREMENT,DECREMENT}_RECURSION_LEVEL in pldhash.cpp with an RAII class",False
90,Simplify new object cache allocation,False
91,Samples column doesn't have enough space for the label,True
92,Turn on the debugger whenever the devtools are opened,False
93,[EME] ClearKey doesn't work on MacOSX,True
94,SIMD: Factor template objects within a compartment,False
95,"Intermittent parse-a-sizes-attribute.html | <img srcset=""data:,a 300w, data:,b 301w""> ref sizes=""100vw"" (standards mode) - assert_unreached: ref currentSrc was null Reached unreachable code",True
96,"[e10s] ""View Image/Video"" in remote browser causes unsafe CPOW usage warning",True
97,Type confusion in HTMLSourceElement::BindToTree,True
98,ruby-align: space-between with strange render,True
99,InContent Prefs - Don't allow text selection of categories,True
100,Building with --enable-ipdl-tests fails,True
101,Move ThreadSources into its own devtools-wide file,False
102,FlameGraph's destroy function should be async,False
103,Unified build failure in GMPVideoDecoder,True
104,Atomic byte operations on x86_64 need not pin any registers at all,False
105,New tab user onboarding for sponsored suggested tiles,False
106,Buffer overflow xml parser,True
107,Flexbox appears to use an inefficient rendering algorithm which causes massive browser load for a relatively small number of nested flex items.,True
108,Some mochitest checks don't handle removed tracks properly,False
109,Add a test for passing Request objects to DOM cache match methods,False
110,don't use QueryInterface when the compiler can do the cast for us,False
111,Update the way Firefox reads directoryLinks.json sent from the server for the tiles v3 endpoint,False
112,create nsIURIClassifier.ClassifyLocalWithTables,False
113,js::StringifySavedFrameStack doesn't put the string in the cx's compartment like it promises,True
114,A variant of Bug 1144988 lets one bypass same-origin policy,True
115,Disabling an m-section doesn't tear down the ICE stream,True
116,Add OS X shell builds to Treeherder,False
117,IPC Proxy for HyperText,False
118,"Clean up SetInlinePropertyOnTextNode, GetInlinePropertyBase, RemoveInlinePropertyImpl, GetComputedStyle, IsCSSInvertible, Get*Property, GetCSSInlinePropertyBase, etc.",False
119,APZCs can be leaked when a compositor shuts down,True
120,Various DOM manifest mochitests are going to permafail when Gecko 39 merges to Aurora,True
121,"Assertion failure: !realParent || realParent == cx->global() || realParent->isUnqualifiedVarObj(), at js/src/jsfun.cpp:2145",True
122,Remove uses of nsIProgrammingLanguage::JAVASCRIPT2 from Console.cpp,False
123,"Replace ""Logical"" w/ ""FlexRelative"" in flexbox functions/comments about [main-axis,cross-axis] positions & sizes",False
